6#实际给料量,6#干燥炉排一段下漏渣溜管A温度,6#干燥炉排二段下漏渣溜管C温度,6#炉二次风电动调节门（后壁侧）,6#炉排烟SO2小时实时均值,6#炉活性炭流量累计,6#炉点火燃烧器A天然气压力,6#炉点火燃烧器B天然气压力,6#炉白班主汽流量,6#炉省煤器旁路烟气调节风门位置,6#炉省煤器灰斗出口烟气温度,6#炉粉尘折算小时均值,6#炉粉尘折算日均值,6#焚烧炉膛前温度,6#预计焚烧量
171.25461,144.13057,173.12798,10.039351,9.118093,2.66,250.87961,259.0046,496.4151,15.8773155,208.47835,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.31631,172.75023,10.041667,9.109179,2.66,250.94908,259.0046,496.5422,15.8773155,208.47835,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.31631,172.46687,10.041667,9.10134,2.66,250.87961,259.07407,496.65936,15.884259,208.47835,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.03772,173.03354,10.027779,9.092878,2.66,250.87961,259.07407,496.78647,15.884259,208.43745,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.03772,172.9391,10.034722,9.084361,2.66,250.94908,259.0046,496.9135,15.87037,208.43745,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.13057,172.65578,10.027779,9.075951,2.66,250.87961,259.07407,497.03802,15.884259,208.43745,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.4092,172.65578,10.048612,9.067842,2.66,250.94908,259.07407,497.1576,15.875,208.43745,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.03772,173.31682,10.013888,9.050964,2.66,250.87961,259.0046,497.40952,15.875,208.41017,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.03772,173.2224,9.99537,9.042582,2.66,250.87961,259.0046,497.5367,15.87037,208.41017,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.13057,173.03354,10.043982,9.034406,2.66,250.87961,259.0046,497.6639,15.8773155,208.39655,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.31631,172.65578,10.048612,9.026864,2.66,250.87961,259.07407,497.78113,15.875,208.39655,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.31631,172.3724,10.041667,9.018655,2.66,250.94908,259.07407,497.90833,15.87037,208.39655,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.31631,172.65578,10.027779,9.01025,2.66,250.87961,259.07407,498.0355,15.884259,208.35565,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.03772,173.12798,10.027779,9.001764,2.66,250.87961,259.0046,498.1602,15.8773155,208.35565,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.13057,172.65578,10.048612,8.993442,2.66,250.94908,259.0046,498.27982,15.87037,208.342,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.13057,172.65578,10.00463,8.984744,2.66,250.87961,259.07407,498.40692,15.884259,208.342,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.13057,172.65578,10.034722,8.976469,2.66,250.87961,259.07407,498.5315,15.884259,208.31476,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.03772,173.12798,10.009259,8.968094,2.66,250.87961,259.07407,498.6585,15.8773155,208.31476,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.13057,172.9391,10.048612,8.959908,2.66,250.87961,259.07407,498.78302,15.8773155,208.27386,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.31631,172.65578,10.034722,8.951815,2.66,250.87961,259.0046,498.90256,15.87037,208.26021,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.31631,172.56133,10.030092,8.942685,2.66,250.87961,259.0046,499.02954,15.8773155,208.26021,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.13057,172.9391,10.027779,8.933166,2.66,250.87961,259.0046,499.15637,15.854166,208.23297,1.0960526,1.2568284,954.8472,406.3584
171.25461,143.94484,173.03354,10.041667,8.924362,2.66,250.87961,259.0046,499.27576,15.868055,208.21931,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.13057,172.46687,10.027779,8.915155,2.66,250.87961,259.0046,499.4025,15.861111,208.17842,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.31631,172.56133,10.016204,8.906161,2.66,250.87961,259.0046,499.52682,15.8773155,208.15117,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.03772,172.9391,10.041667,8.897031,2.66,250.87961,259.07407,499.65366,15.8773155,208.15117,1.0960526,1.2568284,954.8472,406.3584
171.25461,144.03772,172.9391,9.997685,8.887958,2.66,250.87961,259.07407,499.7805,15.8773155,208.13753,1.0960526,1.2568284,954.72076,406.3584
171.25461,144.13057,172.46687,10.034722,8.879651,2.66,250.87961,259.07407,499.8974,15.875,208.09662,1.0960526,1.2568284,954.81555,406.3584
171.25461,144.31631,172.18347,10.027779,8.870456,2.66,250.87961,259.0046,500.02435,15.8773155,208.08301,1.0960526,1.2568284,954.81555,406.3584
171.25461,144.03772,172.75023,10.041667,8.861511,2.66,250.81018,259.0046,500.14883,15.884259,208.08301,1.0960526,1.2568284,954.72076,406.3584
171.25461,143.94484,172.75023,10.041667,8.852458,2.66,250.87961,259.0046,500.2758,15.884259,208.05577,1.0960526,1.2568284,954.72076,406.3584
171.25461,143.94484,172.75023,10.013888,8.844112,2.66,250.81018,259.0046,500.39536,15.875,208.05577,1.0960526,1.2568284,954.72076,406.3584
171.25461,144.13057,172.46687,10.034722,8.835575,2.66,250.81018,258.93518,500.52252,15.8773155,208.01488,1.0960526,1.2568284,954.72076,406.3584
171.25461,144.13057,172.65578,9.997685,8.827487,2.66,250.87961,258.93518,500.64722,15.87037,208.01488,1.0960526,1.2568284,954.81555,406.3584
171.25461,143.94484,172.75023,10.041667,8.819295,2.66,250.87961,259.0046,500.7719,15.87037,208.00122,1.0960526,1.2568284,954.72076,406.3584
171.25461,143.94484,172.75023,10.018518,8.810803,2.66,250.87961,258.91202,500.89917,15.8773155,207.97398,1.0960526,1.2568284,954.65753,406.3584
171.25461,143.94484,173.12798,10.034722,8.793691,2.66,250.81018,258.93518,501.14633,15.8773155,207.9467,1.0960526,1.2568284,954.7524,406.3584
171.25461,143.94484,172.9391,10.041667,8.784687,2.66,250.81018,258.91202,501.27365,15.868055,207.91943,1.0960526,1.2568284,954.7524,406.3584
171.25461,144.03772,172.75023,10.043982,8.776171,2.66,250.81018,259.0046,501.39838,15.875,207.91943,1.0960526,1.2568284,954.7524,406.3584
171.25461,143.94484,172.9391,10.034722,8.767784,2.66,250.81018,259.0046,501.52557,15.875,207.8922,1.0960526,1.2568284,954.7524,406.3584
171.25461,143.94484,173.03354,10.041667,8.760062,2.66,250.81018,259.0046,501.6427,15.875,207.8922,1.0960526,1.2568284,954.7524,406.3584
171.25461,144.03772,172.75023,9.99537,8.75166,2.66,250.81018,259.0046,501.76984,15.8773155,207.8922,1.0960526,1.2568284,954.65753,406.3584
171.25461,144.13057,172.46687,10.027779,8.74319,2.66,250.87961,258.93518,501.89447,15.875,207.87854,1.0960526,1.2568284,954.8472,406.3584
